"15:00,""1.3"",""https://betcity.by/ru/line/soccer/354/6877213"",""Шеффилд Юнайтед"",""Шеффилд Юнайтед"",""Футбол. Англия. Кубок. 1/4 финала."""
"15:00,""1.37"",""https://betcity.by/ru/line/soccer/75175/6005773"",""Леванте"",""Леванте"",""Футбол. Испания. Примера Дивизион."""
"16:00,""1.07"",""https://betcity.by/ru/line/soccer/2865/7243928"",""Интер Турку"",""Интер Турку"",""Футбол. Финляндия. Кубок. 1/2 финала."""
"16:30,""1.45"",""https://betcity.by/ru/line/soccer/74979/6885118"",""Урал"",""Урал"",""Футбол. Россия. Премьер-лига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024819"",""Арминия"",""Арминия"",""Футбол. Германия. 2-я бундеслига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024823"",""Веен"",""Веен"",""Футбол. Германия. 2-я бундеслига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024817"",""Гамбург"",""Гамбург"",""Футбол. Германия. 2-я бундеслига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024816"",""Ганновер 96"",""Ганновер 96"",""Футбол. Германия. 2-я бундеслига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024821"",""Динамо Др"",""Динамо Др"",""Футбол. Германия. 2-я бундеслига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024818"",""Киль"",""Киль"",""Футбол. Германия. 2-я бундеслига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024820"",""Регенсбург"",""Регенсбург"",""Футбол. Германия. 2-я бундеслига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024822"",""Фюрт"",""Фюрт"",""Футбол. Германия. 2-я бундеслига."""
"16:30,""1.4"",""https://betcity.by/ru/line/soccer/5/6024815"",""Штутгарт"",""Штутгарт"",""Футбол. Германия. 2-я бундеслига."""
"18:00,""1.3"",""https://betcity.by/ru/line/soccer/354/6877211"",""Лестер"",""Лестер"",""Футбол. Англия. Кубок. 1/4 финала."""
"18:00,""1.37"",""https://betcity.by/ru/line/soccer/75175/6005776"",""Вильярреал"",""Вильярреал"",""Футбол. Испания. Примера Дивизион."""
"18:15,""1.45"",""https://betcity.by/ru/line/soccer/75173/6853202"",""Милан"",""Милан"",""Футбол. Италия. Серия A."""
"18:30,""1.3"",""https://betcity.by/ru/line/soccer/445/5961516"",""Уотфорд"",""Уотфорд"",""Футбол. Англия. Премьер-лига."""
"20:30,""1.5"",""https://betcity.by/ru/line/soccer/354/6877212"",""Ньюкасл"",""Ньюкасл"",""Футбол. Англия. Кубок. 1/4 финала."""
"20:30,""1.37"",""https://betcity.by/ru/line/soccer/75175/6005772"",""Гранада"",""Гранада"",""Футбол. Испания. Примера Дивизион."""
"20:30,""1.45"",""https://betcity.by/ru/line/soccer/75173/6853198"",""Наполи"",""Наполи"",""Футбол. Италия. Серия A."""
"20:30,""1.4"",""https://betcity.by/ru/line/soccer/75173/6853194"",""Сампдория"",""Сампдория"",""Футбол. Италия. Серия A."""
"20:30,""1.4"",""https://betcity.by/ru/line/soccer/75173/6853196"",""Сассуоло"",""Сассуоло"",""Футбол. Италия. Серия A."""
"20:30,""1.43"",""https://betcity.by/ru/line/soccer/75173/6853200"",""Удинезе"",""Удинезе"",""Футбол. Италия. Серия A."""
"21:30,""1.3"",""https://betcity.by/ru/line/soccer/140004/7224778"",""АЕК"",""АЕК"",""Футбол. Греция. Суперлига. Чемпионская группа."""
"22:45,""1.45"",""https://betcity.by/ru/line/soccer/75173/6853205"",""Парма"",""Парма"",""Футбол. Италия. Серия A."""
"23:00,""1.4"",""https://betcity.by/ru/line/soccer/75175/6005770"",""Эспаньол"",""Эспаньол"",""Футбол. Испания. Примера Дивизион."""
